# assert	value	want	verdict
pool_size	8	> 2	PASS
pool_settled	quiet 20s	quiet	INFO
hashes_after_cut	3/3	3/3	PASS
cut_target	tp f1012467-de9d-09a9-8b49-62a43945c24b rg 49171 remote 0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb (by tunnel_role=active)	an active tunnel's first hop	INFO
survivors_kept	7/7 (49170,49171,49172,49173,49174,49175,49176,49177 -> 49170,49172,49173,49174,49175,49176,49177)	all but rg 49171	PASS
rg_ports_lost	49171	at most rg 49171	PASS
rg_ports_gained	none	pool refill, not a rebuild	INFO
promote_event	tunnel_promoted x1	>=1 tunnel_promoted (or leg_promoted)	PASS
ttfb_after_cut_s	3.724	< 2	FAIL
local_reorder_wedge	0 events, wedges counter 0	0	PASS
exit_reorder_wedge	0	0	PASS
